image path,timestamp,camera,sample,area,barcode
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_17_12:00:17.jpg,2023_10_17_12:00:17,2,2,11076,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-6-2023_10_23_12:00:42.jpg,2023_10_23_12:00:42,6,0,16359,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-6-2023_10_23_12:00:42.jpg,2023_10_23_12:00:42,6,1,19494,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-6-2023_10_23_12:00:42.jpg,2023_10_23_12:00:42,6,2,15216,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_23_12:02:01.jpg,2023_10_23_12:02:01,3,0,9882,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_23_12:02:01.jpg,2023_10_23_12:02:01,3,1,9393,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_23_12:02:01.jpg,2023_10_23_12:02:01,3,2,8997,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_26_12:01:48.jpg,2023_10_26_12:01:48,2,0,14118,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_26_12:01:48.jpg,2023_10_26_12:01:48,2,1,21486,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_26_12:01:48.jpg,2023_10_26_12:01:48,2,2,21066,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_27_13:53:12.jpg,2023_10_27_13:53:12,3,0,17331,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_27_13:53:12.jpg,2023_10_27_13:53:12,3,1,17526,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_27_13:53:12.jpg,2023_10_27_13:53:12,3,2,14649,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_18_12:34:59.jpg,2023_10_18_12:34:59,3,0,14304,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_18_12:34:59.jpg,2023_10_18_12:34:59,3,1,16197,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_18_12:34:59.jpg,2023_10_18_12:34:59,3,2,10917,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_21_12:44:37.jpg,2023_10_21_12:44:37,3,0,8214,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_21_12:44:37.jpg,2023_10_21_12:44:37,3,1,6588,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_21_12:44:37.jpg,2023_10_21_12:44:37,3,2,8058,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_27_13:53:54.jpg,2023_10_27_13:53:54,2,0,21006,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_27_13:53:54.jpg,2023_10_27_13:53:54,2,1,20985,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_27_13:53:54.jpg,2023_10_27_13:53:54,2,2,18978,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_20_12:34:23.jpg,2023_10_20_12:34:23,3,0,8688,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_20_12:34:23.jpg,2023_10_20_12:34:23,3,1,5778,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_20_12:34:23.jpg,2023_10_20_12:34:23,3,2,5007,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_25_11:58:38.jpg,2023_10_25_11:58:38,2,0,0,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_25_11:58:38.jpg,2023_10_25_11:58:38,2,1,0,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_25_11:58:38.jpg,2023_10_25_11:58:38,2,2,924,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_27_13:53:55.jpg,2023_10_27_13:53:55,3,0,15591,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_27_13:53:55.jpg,2023_10_27_13:53:55,3,1,17421,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_27_13:53:55.jpg,2023_10_27_13:53:55,3,2,15006,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-6-2023_10_17_12:00:52.jpg,2023_10_17_12:00:52,6,0,5946,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-6-2023_10_17_12:00:52.jpg,2023_10_17_12:00:52,6,1,5838,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-6-2023_10_17_12:00:52.jpg,2023_10_17_12:00:52,6,2,3765,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_26_12:02:00.jpg,2023_10_26_12:02:00,3,0,14484,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_26_12:02:00.jpg,2023_10_26_12:02:00,3,1,15573,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_26_12:02:00.jpg,2023_10_26_12:02:00,3,2,14139,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_21_12:42:18.jpg,2023_10_21_12:42:18,2,0,9696,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_21_12:42:18.jpg,2023_10_21_12:42:18,2,1,10296,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_21_12:42:18.jpg,2023_10_21_12:42:18,2,2,7713,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_26_12:03:54.jpg,2023_10_26_12:03:54,3,0,12264,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_26_12:03:54.jpg,2023_10_26_12:03:54,3,1,11394,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_26_12:03:54.jpg,2023_10_26_12:03:54,3,2,10545,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_26_12:01:18.jpg,2023_10_26_12:01:18,3,0,16860,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_26_12:01:18.jpg,2023_10_26_12:01:18,3,1,16335,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_26_12:01:18.jpg,2023_10_26_12:01:18,3,2,12975,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_21_12:41:57.jpg,2023_10_21_12:41:57,2,0,11976,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_21_12:41:57.jpg,2023_10_21_12:41:57,2,1,16503,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_21_12:41:57.jpg,2023_10_21_12:41:57,2,2,21732,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_23_12:00:18.jpg,2023_10_23_12:00:18,3,0,13566,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_23_12:00:18.jpg,2023_10_23_12:00:18,3,1,24960,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_23_12:00:18.jpg,2023_10_23_12:00:18,3,2,20994,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_21_12:44:59.jpg,2023_10_21_12:44:59,3,0,0,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_21_12:44:59.jpg,2023_10_21_12:44:59,3,1,0,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_21_12:44:59.jpg,2023_10_21_12:44:59,3,2,0,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_17_12:00:28.jpg,2023_10_17_12:00:28,2,0,21984,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_17_12:00:28.jpg,2023_10_17_12:00:28,2,1,12744,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_17_12:00:28.jpg,2023_10_17_12:00:28,2,2,16605,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_25_11:56:35.jpg,2023_10_25_11:56:35,2,0,24924,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_25_11:56:35.jpg,2023_10_25_11:56:35,2,1,19398,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_25_11:56:35.jpg,2023_10_25_11:56:35,2,2,19698,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_19_12:03:14.jpg,2023_10_19_12:03:14,3,0,10896,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_19_12:03:14.jpg,2023_10_19_12:03:14,3,1,11559,N/A
